DESCRIÇÃO;LANÇAMENTO;VENCIMENTO;EFETIVAÇÃO;CATEGORIA;SUBCATEGORIA;CARTÃO;CONTA;VALOR;OBSERVAÇÕES
Google Play dev conta;10/03/2026 21:28;10/04/2026;;Assinaturas & Serviços;Outros;Santander Elite;Itaú;136.79;"Compra no cartão final 9471, de USD 25,00, em 10/03/26, às 21:28, em Google Play, aprovada.
#GooglePlay"
Google My Finan;21/03/2026 20:10;10/04/2026;;Assinaturas & Serviços;Minhas Finanças;Santander Elite;Itaú;13.9;
Claude code;18/03/2026 22:28;10/04/2026;;Assinaturas & Serviços;Claude Cod;Santander Elite;Itaú;117.51;
Gamepass;18/03/2026 23:24;10/04/2026;;Assinaturas & Serviços;Gamespass;Santander Elite;Itaú;59.9;
Exame biopsia Thor;18/03/2026 22:06;10/04/2026;;Família;Anim. estimação;Santander Elite;Itaú;157.86;
Jagf Refeicoes;09/03/2026 12:11;10/04/2026;;Alimentação;Feira;Santander Elite;Itaú;20.9;"Compra no cartão final 6174, de R$ 20,90, em 09/03/26, às 12:09, em JAGF REFEICOES, aprovada.
#JagfRefeicoes"
Kedley barbeiro;14/03/2026 14:18;10/04/2026;;Saúde;Barbeiro;Santander Elite;Itaú;80.0;"Compra no cartão final 6174, de R$ 80,00, em 14/03/26, às 14:18, em OPCAO CABELO E, aprovada.
#OpcaoCabeloE"
Locaweb vps;20/03/2026 00:09;10/04/2026;;Assinaturas & Serviços;Locaweb;Santander Elite;Itaú;31.9;"Compra no cartão final 6174, de R$ 31,90, em 20/03/26, às 00:03, em LOCAWEB, aprovada.
#Locaweb"
Lucasoshiro;08/03/2026 12:58;10/04/2026;;Alimentação;Feira;Santander Elite;Itaú;23.0;"Compra no cartão final 9471, de R$ 23,00, em 08/03/26, às 12:58, em LucasOshiro, aprovada.
#Lucasoshiro"
Claude code;18/03/2026 22:08;10/04/2026;;Assinaturas & Serviços;Claude Cod;Santander Elite;Itaú;10.0;
Plano sem parar;07/01/2026 16:58;10/04/2026;;Transporte;Sem Parar;;Itaú;41.99;
ChatGPT;18/03/2026 22:27;10/04/2026;;Assinaturas & Serviços;Gpt;Santander Elite;Itaú;125.0;
Manutenção i30  1/3;05/03/2026 16:41;10/04/2026;;Transporte;I30;Santander Elite;Itaú;226.68;
Massinha Bernardo lepok;04/03/2026 17:12;10/04/2026;;Família;Filhos;Santander Elite;Itaú;90.83;
Mercadinho Auro;14/03/2026 10:21;10/04/2026;;Alimentação;Supermercado;Santander Elite;Itaú;42.2;"Compra no cartão final 6174, de R$ 42,20, em 14/03/26, às 10:12, em MERCADINHO AURO, aprovada.
#MercadinhoAuro"
Mercado Extra.1;13/03/2026 08:01;10/04/2026;;Alimentação;Cafe Manha;Santander Elite;Itaú;12.8;"Compra no cartão final 9471, de R$ 12,80, em 13/03/26, às 08:01, em MERCADO EXTRA.1, aprovada.
#MercadoExtra1"
Mercado Extra.1;09/03/2026 09:49;10/04/2026;;Alimentação;Lanche;Santander Elite;Itaú;17.09;"Compra no cartão final 6174, de R$ 17,09, em 09/03/26, às 09:49, em MERCADO EXTRA.1, aprovada.
#MercadoExtra1"
Mercado car  2/3;03/03/2026 20:30;10/04/2026;;Transporte;I30;Santander Elite;Itaú;88.43;
Trimais Ii;08/03/2026 17:03;10/04/2026;;Alimentação;Supermercado;Santander Elite;Itaú;114.47;"Compra no cartão final 6174, de R$ 114,47, em 08/03/26, às 17:02, em TRIMAIS II, aprovada.
#TrimaisIi"
Pastel feira;08/03/2026 13:29;10/04/2026;;Alimentação;Feira;Santander Elite;Itaú;56.0;"Compra no cartão final 6174, de R$ 56,00, em 08/03/26, às 13:25, em KANDA COMERCIO, aprovada.
#KandaComercio"
Jagf Refeicoes;12/03/2026 12:29;10/04/2026;;Alimentação;Almoço;Santander Elite;Itaú;21.9;"Compra no cartão final 6174, de R$ 21,90, em 12/03/26, às 11:44, em JAGF REFEICOES, aprovada.
#JagfRefeicoes"
Remédios Thor - Medicação  2/3;20/02/2026 12:53;10/04/2026;;Família;Anim. estimação;Santander Elite;Itaú;160.16;
Se77e Empreendi;11/03/2026 12:18;10/04/2026;;Assinaturas & Serviços;Locaweb;Santander Elite;Itaú;10.0;"Compra no cartão final 9471, de R$ 10,00, em 11/03/26, às 12:18, em SE77E EMPREENDI, aprovada.
#Se77eEmpreendi"
Super Grill Exp;11/03/2026 11:45;10/04/2026;;Alimentação;Almoço;Santander Elite;Itaú;19.99;"Compra no cartão final 9471, de R$ 19,99, em 11/03/26, às 11:45, em SUPER GRILL EXP, aprovada.
#SuperGrillExp"
